affiliation_id,affiliation_name
168,"Research Scholar, JAIN (deemed-to-be University)"
169,Montana State University
170,Université de Liège
171,"Associate Professor of International Economics, ISS (Erasmus University Rotterdam)"
172,Fraunhofer Institute for Nondestructive Testing
173,"Assistant Professor-Crop Physiology, Montana State University"
174,"Graduate Student, University of Rochester"
175,University of Manchester
176,University of Neuchatel
177,University of Colorado Boulder
178,Seton Hall Law
179,UNIVPM
180,"Brown Forman Chair in Entrepreneurship, University of Louisville"
181,Universidade Federal da Bahia
182,Carnegie Mellon University
183,University of Exeter Medical School
184,University of Cincinnati
185,"Center for Nanophase Materials Sciences, Oak Ridge National Lab"
186,Engineer Research and Development Center
187,University of Iowa
188,Universidad EAFIT
189,"Professor of Food Microbiology, University of Illinoise at Urbana-Champaign"
190,Professore di Biochimica Università di Pisa
191,University of Nottingham
192,"Zamfara state college of education Maru-Zamfara state, Nigeria"
193,"Associate Professor, Johns Hopkins University"
194,"Liew Family Professor of Molecular Engineering, Professor of Chemistry,University of Chicago"
195,"PhD, Institute of Biomedicine of Seville (IBiS)-HUVR/University of Seville/CSIC, Spain."
196,RWTH Aachen University
197,"Materials Science Engineer, American Testing Services"
198,UNICAMP
199,"Professor of Civil and Architectural Engineering, Qatar University"
200,"Гомельский государственный медицинский университет, Gomel State Medical University"
201,Dr. Wood Science and Biomass Energy
202,"Associate Professor of Mechanical Engineering, Washington State University"
203,"Professor of Biology, Colby College"
204,"PhD, MD"
205,Professor
206,"Kelley School of Business, Indiana University"
207,"Lecturer in Zoology, School of Biological, Earth and Environmental Sciences, UCC"
208,Universidad Tecnica Federico Santa Maria
209,Texas Woman's University
210,Northwestern University
211,Université de Québec à Montréal
212,"Mechanical and Aerospace Engineering, George Washington University"
213,"G. S. Sanyal School of telecommunications, IIT Kharagpur, and Graphic Era University Dehradun"
214,"Software Developer, Ajman University, Ajman, United Arab Emirates"
215,Hoseo University
216,"Dr. in Physics, Biostatistician Roche Diagnostics"
217,"Research Scientist, Agroscope"
218,Northeastern University
219,Loma Linda University
220,"Instituto de Ciências Biomédicas, Universidade Federal do Rio de Janeiro"
221,Incyte Corp
222,"egyetemi docens, Budapesti Műszaki és Gazdaságtudományi Egyetem"
223,CNRS
224,Univ.-Ass. Mag. Dr.rer.nat
225,Universidad Autónoma de Madrid
226,"United Nations, Population Division"
227,Instytut Badawczy Leśnictwa
228,Durham University
229,The Pennsylvania State University
230,"Assistant Professor, Al-Baha University"
231,Universidade Federal de Viçosa
232,icahn school of MEDICINE at mount sinai
233,Nanjing University of Posts and Telecommunications
234,October University for Modern Sciences and Arts (MSA)
235,"Universidad del Rosario, Escuela de Ciencias Humanas, GI Estética y Política"
236,imperial college
237,University of Greenwich / Hughes Associates / University of Maryland
238,"Scientist, Teneobio, Inc."
239,"Postdoctoral Research Fellow, Massachusetts General Hospital"
240,"University of Kassel, University of Ghana"
241,"Associate Professor of Neurology and Neuro-Oncology, Stanford University"
242,Covance Inc.
243,"Associate Professor, IIT Gandhinagar"
244,"Department of Physics, University of Fribourg"
245,"Alpha Analyst, Kena Labs"
246,"Professor of Geriatric Medicine, University  of Hawaii"
247,Professor of Clinical Pathology (Laboratory Medicine)
248,Incheon National University
249,Universidade de Santiago de Compostela
250,"Professor of Computer Science, University of Caen Normandy"
251,"Assistant Dean (Student Affairs), Faculty of Engineering, The Chinese University of Hong Kong"
252,CORESEARCH - Center for Outcomes Research and Clinical Epidemiology
253,Faculdade de Psicologia Universidade de Lisboa
254,Professor of Immunology. Universidad de Murcia. Spain
255,"School of Environmental Sciences, Jawaharlal Nehru University, New Delhi, INDIA"
256,"Associate Professor in Plant Physiology, Department of Ecology, Environment and Plant Science"
257,Ben-Gurion University of the Negev
258,"Institute of Automation, Chinese Academy of Sciences"
259,"Associate Professor of Mechanical Engineering, College of Aburaihan, University of Tehran"
260,"Postdoctoral Scholar, University of California at Irvine"
261,Facebook Inc.
262,The Connecticut Agricultural Experiment Station
263,Louisiana State University
264,"Institute of Integrated Biotechnology, Sogang University"
265,"Postdoctoral Research Fellow, Drexel University"
266,Waseda University
267,"Postdoctoral Research Associate, Boston University School of Medicine"
268,"Visiting Research Scientist, Department of Medicinal Chemistry, University of Michigan"
269,The University of Sydney
270,"Centre For Nanoscience and Nanotechnology, Jamia Millia Islamia"
271,MeasureMeNow
272,"Q-carbon LLC, North Carolina State University"
273,Maine Shellfish R+D
274,"Partner Institute for Computational Biology, Chinese Academy of Sciences"
275,"Associate Professor of Meteorology and Physical Oceanography, University of Miami"
276,Flemish Institute for Technological Research & Hasselt University
277,American Red Cross
278,Sony Corporation
279,Geophysical Institute of Peru
280,Profesora de Antropología Física
281,The George Institute for Global Health
282,"Post-doctoral researcher, LIP6 (Paris 6)"
283,"Ph.D., Maastricht University, Department of Data Science and Knowledge Engineering"
284,"Department of Biotechnology, Kulliyyah of Science, International Islamic University Malaysia"
285,"Researcher, Eel River CZO, University of California, Berkeley"
286,IESL FORTH
287,Washington State University
288,"Professor of Anthropology, University of Dhaka"
289,"Assistant Professor of Media Arts and Sciences, MIT"
290,"Professor, Department of Sociology and the Institute for Society and Genetics, UCLA"
291,"Professor of Social Psychology, HOD Psychological & Behavioural Science, LSE"
292,Nagoya University
293,Akdeniz University
294,"Professor and Chair of Management Information Systems, ETH Zurich"
295,"LESIA, Observatoire de Paris"
296,"UVO, PGD, NICHD, NIH (Charles River)"
297,"Research Plant Pathologist, USDA Forest Service"
298,Institute for Fiscal Studies
299,Museum of Western Colorado
300,"Research Assistant, Trinity College Dublin"
301,"Department of Psychology, Universite du Quebec a Montreal, Canada"
302,You can reach me at 646-312-4168 or through email: feng.chen@baruch.cuny.edu.
303,"Assistant Professor, Department of Cellular & Physiological Sciences, Life Sciences Institute"
304,"Graduate Student, University of California at Santa Cruz"
305,"professor of computer science, Beijing Jiaotong University"
306,Marshall University Joan C. Edwards School of Medicine
307,Institute of National Economy
308,The University of Toronto
309,Children's Cancer Institute
310,"Director, Elsevier Labs"
311,Koç University
312,aga khan university
313,Glasgow University
314,Prof. Dr. Department of Biochemistry and Tissue Biology Institute of Biology UNICAMP
315,"School of Health Sciences, University of Tampere"
316,Swinburne University of Technology
317,Universidade de São Paulo
318,"Professor of Information Systems, Singapore Management University"
319,"Department of Polymer Chemistry, Kyoto University, Japan"
320,"Professor Titular Enfermagem, Nutrição e Fisioterpia"
321,"PhD Scholar, Monash University"
322,"Fellow in the Government Department, London School of Economics"
323,"Académico Docente, Universidad Autónoma de Chile"
324,"Professor, Kyoto University"
325,Victoria University
326,Southeast University
327,Contamac Ltd
328,"Researcher, CRIM"
329,Knowledge exchange and Impact Project Manager
330,TU Graz
331,Instytut Odlewnictwa
332,"Staff Scientist, Diamond Light Source, Harwell@Oxford"
333,"Glenn L. Martin Institute Professor, University of Maryland"
334,"Professor of Obstetrics and Maternal Fetal Medicine, University College London"
335,"Assistant Professor, Institute for Management Research, Radboud University"
336,Yale
337,University of Houston
338,IST Austria
339,"Professor, Centro de Investigación en Matemáticas"
340,Johns Hopkins University
341,"Assistant professor, Insitute of Public Health, National Yang-Ming University"
342,"Professore di sistemi elettrici per l'energia, Dipartimento Ingegneria Industriale, Università di Padova"
343,University of Michigan
344,"Center for Food Safety, University of Georgia"
345,The Ohio State University
346,"Ph.D of Analytical chemistry, Tuba, School of Traditional Medicine; Tehran University"
347,"Chief Scientist and Battelle Fellow, Biological Sciences Division, PNNL"
348,"Science For Life Laboratories, Karolinska Institutet"
349,UCSD
350,Oregon State University
351,"Assistant Professor of Sociology, Florida Atlantic University"
352,"Mestrando em Biodiversidade, Ambiente e Saúde - UEMA"
353,"Natural Resources Institute, University of Greenwich"
354,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C."
355,"Mestrando em Inteligência Artificial, Universidade de São Paulo"
356,Università di Cagliari
357,University of Nebraska-Lincoln
358,Universidade Federal de Santa Maria
359,Douglas Mental Health University Institute
360,Universidad Tecnológica de Pereira
361,The Queen Elizabeth Hospital
362,"Kazan Federal University, Institute of Philology and Intercultural Communication"
363,Indiana University
364,"Professor da Engenharia de Materiais, Universidade Federal do ABC, Santo André - SP - Brasil"
365,Brazilian Federal Police
366,Dankook University
367,Kent State University
368,"Mohamed Seddik Ben Yahia University, Jijel"
369,Bishop's University
370,Global Climate Forum
371,"Professor of Sedimentology, Chonnam National University"
372,Directeur de recherche CEA LIST
373,University of Utah
374,"Universiti Teknologi Malaysia - IBB University, Yemen"
375,"University-Hospital Schleswig-Holstein, Campus Kiel"
376,"PhD researcher, Cultural Geography, Faculty of Spatial Sciences, University of Groningen"
377,Estudante de Doutoramento; Universidade Nova de Lisboa
378,Professor of Operations and Supply
379,"Lecturer, Centre for Exercise and Sports Medicine"
380,Universidad de Chile
381,"Xi'an Jiaotong University; University of Michigan, Ann Arbor"
382,Nanyang Technological University
383,Concordia University
384,University of Antwerp
385,Columbia University
386,"Department of environmental health engineering, shahid beheshti univercity of medical science"
387,"Professor of Computer Science and Engineering, Shanghai Jiao Tong University"
388,National Institute of Standards and Technology
389,university of manchester
390,U.S. Geological Survey
391,Kyung Hee University
392,SINTEF Building and Infrastructure
393,The University of Hong Kong
394,"Professor of Philosophy, Hobart and William Smith Colleges"
395,"Professor für Differentielle Psychologie, Persönlichkeitspsychologie und Psychologische Diagnostik, Universität Bielefeld"
396,Osaka University
397,"Associate Professor, School of Biology and the Petit Institute for Bioengineering and Bioscience, Georgia Institute of Technolog"
398,Tabriz University
399,"Associate professor, University of Gothenburg"
400,"Full Professor, University of Costa Rica (retired)"
401,"Professor of Physics, Shanghai Jiao Tong University and Tsung-Dao Lee Institute"
402,"Dept Environ. Physics and Irrigation, Inst. of Soil, Water and Environ. Sci., ARO, Israel"
403,National Taiwan University
404,"Lomonosov Moscow State University, Faculty of Physics"
405,Google
406,"Assistant Professor University of Siena - Department of Environment, Earth and Physical Sciences and"
407,"Professor of Mathematics, Carleton University and University Lille 1"
408,Shandong University
409,"College of Veterinary Medicine, university of sulaimani"
410,H. W. Wilson Company
411,ETRI
412,"PhD candidate, Stockholm Resilience Centre, Stockholm University"
413,"Research Scientist, Google Brain"
414,"Director del Instituto del Hospital del Mar de Investigaciones (IMIM), Profesor de Toxicología Asociado a la UPF"
415,German Aerospace Center (DLR)
416,"Principal Security Researcher, GDATA Advanced Analytics"
417,University of Macedonia
418,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán
419,"Full Professor of Philosophy of Nature and Science, Pontifical Lateran University, Rome"
420,Amirkabir University of Technology
421,University of Washington
422,Gdansk University of Technology
423,"Jinan University, Beijing University of Posts and Telecommunications, Columbia University"
424,"Associate Professor, School of Labor and Employment Relations, University of Illinois at Urbana"
425,"Luck Professor & Associate Dean, Auburn University"
426,"Professor of Theoretical Physics, Swinburne University of Technology"
427,University of Macau
428,"professor of computer science, university of Rennes1"
429,"Wuhan University of Technology, China"
430,"Department of Industrial and Manufacturing Engineering, University of Engineering &Technology"
431,HaiNan University
432,"Honorary Professor of Theoretical Physics, University of Salerno, Salerno, Italy"
433,Tokyo Denki University
434,"Research Assistant, Quality and Usability Labs, TU Berlin"
435,Professor of Environmental Plant  Physiology
436,"Post-doctoral fellow, Duke University"
437,Associate Professor - EA 7519 - PETALES group - Transformations & Agro-Ressources - UniLaSalle
438,Universidade Federal de Minas Gerais
439,Chonbuk National University
440,"PhD Student, Stanford University"
441,"National Brain Research Centre, Manesar"
442,Washington University in St. Louis
443,"Professor of Biostatistics, Indiana University, Indianapolis"
444,"Institute of Physics and SMCEBI, University of Silesia"
445,"National Agriculture and Food Research Organization   Institute of Crop Science, NARO"
446,"Assistant Professor, University of Alabama at Birmingham"
447,Iowa State University
448,University of North Carolina at Chapel Hill
449,Weizmann Institute
450,Comenius University
451,Centre d'Estudis Demogràfics / Autonomous University of Barcelona
452,"PhD Candidate, University of Patras, Greece"
453,Max-Planck-Institut für Biochemie
454,"Professor of Corrosion Science and Engineering, University of Manchester"
455,"Leading researcher, Laboratory Head"
456,"Dipartimento di Scienze Chimiche, Universita' degli Studi di Napoli Federico II"
457,"Richard Seagrave Associate Professor of Chemical and Biological Engineering, Iowa State University"
458,"IEMN Cnrs (Inst. of Electronics, Microelectronics and Nanotechnology) University of Lille I, France"
459,Ghent University
460,Universitat Autònoma de Barcelona
461,"Masarykova univerzita, Fakulta sociálních studií, Pedagogická fakulta"
462,Assistant Professor
463,"Center of Higher Amazonian Studies (NAEA), Federal University of Para"
464,IBM T. J. Watson Research Center
465,"Associate Professor | Professeur Agrégé, Polytechnique Montréal (Université de Montréal campus)"
466,CEA
467,"Professor of Biochemistry, Annamalai University"
468,Phd. Molecular Life Sciences
469,"Geography and Geology, University of Hull"
470,IBM
471,"Landscape Architecture and Environmental Planning, University of Technology, Dresden"
472,"Head of Department of Genetics and Biotechnology, Ivan Franko National University of Lviv"
473,"Green Chemistry Centre of Excellence, University of York"
474,"Professore di Matematica, Università della Calabria"
475,"MackGraphe, Mackenzie Presbyterian University"
476,University of South Africa (Unisa)
477,Gümüşhane Üniversitesi
478,"Università degli Studi di Milano, Dipartimento di Scienze della Terra 'A. Desio'"
479,CSIR-CSIO
480,"PhD Scholar, Pusan National University"
481,"Asst. Prof., faculty of physical education, University of Sadat City"
482,"Harran University, Science Faculty, Department of Chemistry, Assoc. Prof. Dr."
483,"Department of Inflammation and Immunity, Lerner Research Institute, Cleveland Clinic, Cleveland, OH"
484,"Professor of Biochemistry, NYU School of Medicine"
485,University of California San Francisco
486,University of Queensland
487,"Associate Professor of Government, Berry College"
488,"Postdoctoral researcher, Laboratoire de Biorhéologie et d'Ultrasonographie Médicale, Montréal"
489,"Centre for Quantum Computation and Communication Technology, University of New South Wales"
490,"Ústav chemie, PřF MU"
491,Associate Professor Curtin Institute for Biodiversity and Climate
492,"National Center for Science and Engineering Statistics, NSF"
493,Pennsylvania State University and VMware Research
494,Senior Research Investigator
495,V R Siddhartha Engineering College Vijayawada
496,Universidade Federal do Rio Grande do Sul
497,"Research Fellow, National University of Singapore"
498,"PhD candidate, University of Stuttgart"
499,Université catholique de Louvain | UCLouvain
500,"Associate Professor, University of Alberta"
501,"Professor of Computer Science and Information Engineering, Chung Hua University"
502,"KACST, King Abdulaziz City for Science and Technology"
503,"Professor of Neurobiology and Neurosciences, University of California San Diego"
504,"Senior Research Associate, University of Maryland, College Park"
505,"Sharon A. and David B. Pearce Professor of IT Management, Georgia Institute of Technology"
506,"National University of Rosario, Argentina."
507,"Reference & Instruction Librarian, Troy University"
508,Now-Casting Economics
509,"Dental faculty, Mazandaran University of Medical Sciences, Sari, Iran"
510,Clinica Barajas
511,"Profesor-Investigador, Universidad Autónoma de Campeche"
512,"Carnegie Mellon University, Conviva"
513,"Associate Professor, School of Labor & Employment Relations, University of Illinois at Urbana"
514,FAU
515,"PhD Student, Waseda University"
516,"Assistant Professor of Mathematics, Dr. Harisingh Gour Central University Sagar 470003, INDIA"
517,"previously at EPFL, Switzerland"
518,"Danish Research Centre for Magnetic Resonance, Copenhagen University Hospital Hvidovre"
519,Professor Monash University
520,"Assistant Professor of Computer Science, Menoufia University"
521,"Assistant Professor, University of Ottawa"
522,"Professor of Cardiology, University of Leicester"
523,"Department of Energy Science & Engineering, DGIST, Daegu, Korea"
524,UMASS-Dartmouth
525,"PhD student, University of Urbino ‘‘Carlo Bo’’"
526,Institute of Occupational Medicine and University of Arizona
527,University of Tasmania
528,"Professor, University 'Politehnica' of Bucharest"
529,Northwestern University+Vanderbilt University+Baylor College of Medicine+University of Texas
530,Yale School of Medicine
531,"Boston Children's Hospital, Harvard Medical School"
532,University of Calgary
533,University of KwaZulu-Natal
534,"Courant Institute of Mathematical Sciences, New York University"
535,Singapore University of Technology and Design
536,Universidade Federal do Sul da Bahia
537,"Mansoura University, Gastroenterology Surgical Center"
538,Università degli Studi di Firenze
539,"Associate Professor of Pediatrics, Children's Mercy Hospital"
540,"université Clermont Auvergne, EA7280, Clermont-ferrand university hospital, Neurology department"
541,Taiwan Centers for Disease Control
542,University of Edinburgh
543,Doutorando da Universidade Federal de Sergipe
544,Donau-Universität Krems
545,Principal Research Investigator
546,Southwest Jiaotong University
547,"Computer Science, Heriot-Watt University"
548,"William Neal Reynolds Distinguished Professor of Applied Ecology and Toxicology, North Carolina State University"
549,"Department of Pathology and Molecular Medicine,Queen's University"
550,"Programme Leader, University of Greenwich"
551,"Juniorprofessorship ,,Stochastics and Optimization'' @ Bauhaus University Weimar"
552,"CEO, Somagenics"
553,CAS; Peking University; University of Science and Technology Beijing
554,Bundeswehr University Munich
555,IMEC
556,"Leibniz Institute for Baltic Sea Research (IOW), Marine Geology"
557,Sri Ramachandra Institute of Higher Education and Research
558,"Professor, University of Massachusetts School of Law"
559,Tsinghua University
560,CEA Saclay / UCLA EE department
561,AstraZeneca
562,AstraZeneca AB
563,Georgetown University
564,ATLATL Center
565,"Ph.D. student, Ewha Womans University "
566,"Department of Computer Science and Technology, Salesian Polytechnic"
567,Professor de Imunologia da Universidade Federal de Minas Gerais
568,AMC
569,"Director, Integrated water and land management program, ICARDA, Amman, Jordan"
570,"Associate Professor, St. Theresa International College"
571,World Bank
572,RCC Institute of Information Technology
573,"Research Scientist, Goldman Sachs"
574,"Professor of the Graduate School of Information and Media Management, KAIST"
575,"Professor of Geology, University of Hawaii"
576,Pós-Doutoranda em Universidade Estadual Paulista
577,Universidade do Estado do Rio de Janeiro
578,Oregon Institute of Technology
579,Docente
580,Shanghai Jiao Tong University; Massachusetts Institute of Technology (MIT)
581,"Professor of Ophthalmology,Beijing TongRen Eye Center"
582,Istituto Italiano di Tecnologia IIT
583,"Former head (1935-2011), Dept. Invertebrates, Naturalis Biodiversity Center, Leiden"
584,"Amity Institute of Biotechnology, Amity University, Mumbai"
585,"UST, KIMM, TXstate, MTI-US"
586,"Postgratuate Student, University Putra Malaysia"
587,"Postdoc, German Center for Neurodegenerative Diseases, Berlin"
588,Beijing University of Technology
589,Associate Professor of Shanghai Jiao Tong University
590,The Hong Kong Polythechnic University
591,Cátedra CONACYT- Colegio de Postgraduados
592,"Professor, Penn State"
593,"Departament of Geography, University of Valencia"
594,"Coordinadora del Instituto de Investigaciones en Ciencias del Comportamiento, Universidad Católica Boliviana 'San Pablo'"
595,Principal Investigator Fungicide Research Group at Rothamsted Research
596,"Davis Chair, Jackson School, UT Austin; Hon Professor"
597,PROFESOR
598,Professor of Animal Behaviour and Welfare SRUC
599,"Associate Professor, University of Science and Technology of China"
600,Gunma Paz University Graduate School of Health Science
601,Pesquisador Senior do IPT
602,"PhD Student, University of Washington"
603,"Ph.D. Candidate, Brown University"
604,"Professor, Dept Electrical and Computer Eng, The Ohio State University"
605,Cornell University
606,"Ph.D. Candidate in Real Time Systems Group, University of York"
607,Ulm University
608,université Mustapha Stambouli de mascara
609,"Assistant Professor, Biosystematics Group, Wageningen University"
610,"Massachusetts General Hospital, Harvard Medical School, Neurosurgery, Associate Professor"
611,"Professor of Geology, Union College"
612,ZEW Zentrum für Europäische Wirtschaftsforschung / Centre for European Economic Research
613,The University of Western Australia
614,Airlabs
615,"Professor of Marketing & Dept. Head at Isenberg School of Management, Umass Amherst"
616,Pesquisador da Escola Nacional de Saude Publica
617,Professore Ordinario di Neuropsichiatria Infantile
618,"Postdoctoral Fellow. Sanford Consortium for Regenerative Medicine. UC San Diego. La Jolla, CA"
619,MIRSENSE
620,"MCU, Paul Sabatier University, CPTP (INSERM, CNRS, UPS), TMBI (Univ. Toulouse)"
621,"ASSISTANT PROFESSOR IN ZOOLOGY, PROVIDENCE WOMEN'S COLLEGE, CALICUT"
622,PhD Student at Basque Center for Applied Mathematics (BCAM)
623,"Mechanical Engineering, University College London"
624,"Junior Research Fellow, Vel Tech High Tech Dr. RR Dr. SR Engineering college, Chennai - 62"
625,Senior Research Fellow
626,Translational Health Science and Technology Institute
627,University of Colorado at Colorado Springs
628,"Professor and Women's Health Research Chair in Rural Health, Arthur Labatt Family School of Nursing"
629,"Doctoral researcher, IMEC"
630,"Scientist, Amyris, Inc."
631,University of Pittsburgh
632,"Donghua University, Center for Advanced Low-dimension Materials, Shanghai. U Akron. USTC. 刘庚鑫"
633,Principal Scientist
634,"Professor of Mechanical, Aerospace & Nuclear Engineering, Rensselaer Polytechnic Institute"
635,University of Illinois at Urbana-Champaign
636,Camena Bioscience Ltd
637,"Senior Researcher, Molecular Biology Lab., Division of Basic Sciences, Hellenic National Diabetes Center (H.N.D.C.)"
638,"Associate Professor, UCLA Fielding School of Public Health"
639,National Institute of Technology Srinagar
