article_id,title,cited_by,pub_year
71,Models and tools for collaborative annotation,542,2002
72,A joint experimental and numerical study of mechanisms associated to instability of partial cavitation on two-dimensional hydrofoil,1103,2005
73,Abnormal face identity coding in the middle fusiform gyrus of two brain-damaged prosopagnosic patients,1011,2009
74,Stress exacerbates endometriosis manifestations and inflammatory parameters in an animal model,600,2012
75,Association between Helicobacter pylori infection and coronary heart disease,116,2004
76,Supramolecular modeling of mono-copper enzyme active sites with calix [6] arene-based funnel complexes,720,2015
77,"A coupled model for liquid water, water vapor and heat transport of saturated–unsaturated soil in cold regions: model formulation and verification",30,2016
78,Comparative analysis of 3d face recognition algorithms using range image and curvature-based representations,97,2013
79,Nonuniversal critical dynamics in Monte Carlo simulations,14812,1987
80,Energy barrier for homogeneous dislocation nucleation: Comparing atomistic and continuum models,1028,2011
81,Optimal landmark selection for triangulation of robot position,1382,1998
82,Secondary deterioration of apparent diffusion coefficient after 1-hour transient focal cerebral ischemia in rats,2661,2000
83,Multifunctional layer-by-layer carbon nanotube–polyelectrolyte thin films for strain and corrosion sensing,4119,2007
84,Randomized controlled pilot study of cognitive-behavioral therapy in a sample of incarcerated women with substance use disorder and PTSD,2886,2009
85,Impact of environmental factors on neglected emerging arboviral diseases,146,2017
86,Use of block inversion in the 2-D interpretation of apparent resistivity data and its comparison with smooth inversion,2556,2000
87,the Malays,2452,2009
88,Heart rate variability analysis indicates preictal parasympathetic overdrive preceding seizure‐induced cardiac dysrhythmias leading to sudden unexpected death in a patient with …,1028,2014
89,"Influence of milk yield, parity, stage of lactation and body weight on urea and protein concentration in milk of Murrah buffaloes",286,2003
90,Noninvasive neural prostheses using mobile and wireless EEG,2858,2008
91,Interaction between the development of postural control and the executive function of attention,641,2008
92,The role of fusion in ant chromosome evolution: insights from cytogenetic analysis using a molecular phylogenetic approach in the genus Mycetophylax,294,2014
93,Stress differentially alters mu opioid receptor density and trafficking in parvalbumin‐containing interneurons in the female and male rat hippocampus,600,2013
94,Covalently Bound Clusters of Alpha-Substituted PDI Rival Electron Acceptors to Fullerene for Organic Solar Cells,2312,2016
95,Effects of iron overload and hepatitis C virus positivity in determining progression of liver fibrosis in thalassemia following bone marrow transplantation,3221,2002
96,Creating annotation tools with the annotation graph toolkit,542,2002
97,Contrast letter thresholds in the non-affected eye of strabismic and unilateral eye enucleated subjects,1011,1996
98,The impact of the crystallization processes on the structural and optical properties of hybrid perovskite films for photovoltaics,2566,2014
99,Data-mining techniques for exploratory analysis of pedestrian crashes,572,2011
100,Mechanism for generating peaks and notches of head-related transfer functions in the median plane,1005,2012
101,Cross-cultural studies of attitudes and beliefs,404,1970
102,Streamwise oscillation of spanwise velocity at the wall of a channel for turbulent drag reduction,359,2009
103,301: retrospective evaluation of the incidence of vancomycin and/or piperacillin-tazobactam induced acute renal failure,278,2011
104,Who owns the wealth in tax havens? Macro evidence and implications for global inequality,1033,2017
105,Stress and deformation characteristics of transmission tower foundations in permafrost regions along the Qinghai–Tibet Power Transmission Line,30,2016
106,The mechanics of deformation–induced subgrain–dislocation structures in metallic crystals at large strains,1028,2003
107,The complexities of complex span: explaining individual differences in working memory in children and adults.,10480,2003
108,Electrochemical behavior of the tris (pyridine)− Cu funnel complexes: An overall induced-fit process involving an entatic state through a supramolecular stress,720,2005
109,Physiological and genetic characterization of rice nitrogen fixer PGPR isolated from rhizosphere soils of different crops,175,2014
110,"Psychometric properties of a standardized questionnaire of knowledge, attitude, and practice of Iranian medical specialists about viral hepatitis",116,2012
111,Deep learning based camera pose estimation in multi-view environment,2,2018
112,Altitudinal population structure and microevolution of the malaria vector Anopheles cruzii (Diptera: Culicidae),146,2014
113,A superior non-symmetrical NCP pincer type palladacycle catalyst precursor for the coupling of aryl boronic acids with aryl chlorides,290,2003
114,An experimental study of unsteady partial cavitation,1103,2004
115,Performance monitoring of the Geumdang Bridge using a dense network of high-resolution wireless sensors,4119,2006
116,"Epidemiology of trauma, post-traumatic stress disorder (PTSD) and co-morbid disorders in Chile",2886,2006
117,GTPase RhoB: an early predictor of neuronal death after transient focal ischemia in mice,2661,2001
118,Virtual Space: spatiality in virtual inhabited 3D worlds,1382,2002
119,Replica Monte Carlo simulation of spin-glasses,14812,1986
120,Facial expression classification using supervised descent method combined with PCA and SVM,97,2014
121,Chitosan prevents oxidative stress-induced amyloid β formation and cytotoxicity in NT2 neurons: involvement of transcription factors Nrf2 and NF-κB,228,2010
122,Assessment of the reliability of 2D inversion of apparent resistivity data,2556,2000
123,Hippocampal dynorphin immunoreactivity increases in response to gonadal steroids and is positioned for direct modulation by ovarian steroid receptors,600,2009
124,Learning about gravity: segmental assessment of upright control as infants develop independent sitting,641,2012
125,Rational design of porous conjugated polymers and roles of residual palladium for photocatalytic hydrogen production,2312,2016
126,Zinc and male reproduction in domestic animals: A Review,286,1970
127,The role of reflections from behind the listener in spatial impression,1005,2001
128,Role of microstructure in the electron–hole interaction of hybrid lead halide perovskites,2566,2015
129,Detection of epileptic seizures with a modified heart rate variability algorithm based on Lorenz plot,1028,2015
130,Islam and the Muslim state,2452,1970
131,Communicating conflict: Multilingual case studies of the news media,404,2008
132,Development of wireless brain computer interface with embedded multitask scheduling and its application on real-time driver's drowsiness detection and warning,2858,2008
133,"Synthesis, photovoltaic performances and TD-DFT modeling of push–pull diacetylide platinum complexes in TiO 2 based dye-sensitized solar cells",720,1970
134,Development of new didactic materials for teaching science and biology: the importance of the new education practices,294,1970
135,Perceptual measures to influence operating speeds and reduce crashes at rural intersections: driving simulator experiment,572,2010
136,TMS to the lateral occipital cortex disrupts object processing but facilitates scene processing,1011,2011
137,"Control of Fe (O, OH) 6 nano-network structures of rust for high atmospheric-corrosion resistance",1572,2005
138,Corpus Support for Machine Translation at LDC.,542,2006
139,Using developmental trajectories to understand developmental disorders,10480,2009
140,Tax evasion and Swiss Bank deposits,1033,1970
141,Conditions for extreme wave runup on a vertical barrier by nonlinear dispersion,359,2014
142,New approach for bone marrow transplantation in patients with class 3 thalassemia aged younger than 17 years,3221,2004
143,"Biochemical and metabolic profiles of Trichoderma strains isolated from common bean crops in the Brazilian Cerrado, and potential antagonism against Sclerotinia sclerotiorum",660,2012
144,Evaluation of chemical preparation on insect wing shape for geometric morphometrics,146,2013
145,The possible anti-apoptotic and antioxidant effects of acetyl l-carnitine as an add-on therapy on a relapsing-remitting model of experimental autoimmune encephalomyelitis in rats,1,2018
146,Process and outcome in group counseling and psychotherapy,2886,2004
147,The role of twinning deformation on the hardening response of polycrystalline magnesium from discrete dislocation dynamics simulations,1028,2015
148,Current knowledge on assessing the effects of and managing bleeding and urgent procedures with direct oral anticoagulants,278,2016
149,Recovery of Thrombocytopenia after Eradica-tion of H. pylori Infection in Chronic Idiopathic Thrombocytopenic Purpura,116,2015
150,Modelling the 3D pose of a human arm and the shoulder complex utilising only two parameters,1382,2005
151,Estimation of water content and porosity using combined radar and geoelectrical measurements,2556,1999
152,Carbon nanotube sensing skins for spatial strain and impact damage identification,4119,2009
153,Implementation of machine learning for autonomic capabilities in self-organizing heterogeneous networks,97,2017
154,"Mortality and morbidity due to exposure to outdoor air pollution in Mashhad metropolis, Iran. The AirQ model approach",1211,2016
155,Can scale-freeness offset delayed signal detection in neuronal networks?,80,2014
156,Genetic diversity of native soybean bradyrhizobia from different topographical regions along the southern slopes of the Himalayan Mountains in Nepal,175,2010
157,"The effect of dietary garlic supplementation on body weight gain, feed intake, feed conversion efficiency, faecal score, faecal coliform count and feeding cost in crossbred …",286,2010
158,The central role of trunk control in the gross motor function of children with cerebral palsy: a retrospective cross‐sectional study,641,2015
159,Quantum thermal transport in nanostructures,14812,2008
160,What Happened to ‘Asian Values’?,2452,2002
161,"Anxiety, depression and autonomic nervous system dysfunction in hypertension",2661,2012
162,Numerical prediction of cavitating flow on a two-dimensional symmetrical hydrofoil and comparison to experiments,1103,2007
163,Induction of apoptosis and cell cycle arrest by pericarp polyphenol-rich extract of Baneh in human colon carcinoma HT29 cells,228,2012
164,Bidentate Ligand-Passivated CsPbI3 Perovskite Nanocrystals for Stable Near-Unity Photoluminescence Quantum Yield and Efficient Red Light-Emitting Diodes,2566,2017
165,What forces act on a flat rigid mitral annuloplasty ring?,1028,2008
166,Accurate algorithms for identifying the median ranking when dealing with weak and partial rankings under the Kemeny axiomatic approach,572,1970
167,Reproductive biology of Olive (Olea europaea L.) DOP Umbria cultivars,1153,2006
168,Annotation tools based on the annotation graph API,542,2001
169,Sigref – a symbolic bisimulation tool box,905,1970
170,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,6000,2000
171,Adaptive EEG-based alertness estimation system by using ICA-based fuzzy neural networks,2858,2006
172,Personalization of head-related transfer functions in the median plane based on the anthropometry of the listener's pinnae,1005,2014
173,NCP Pincer palladacycle as a phosphine-free catalyst precursor for the Heck–Mizoroki coupling of aryl halides,290,1970
174,Transcranial magnetic stimulation to the transverse occipital sulcus affects scene but not object processing,1011,2013
175,Hormonal regulation of delta opioid receptor immunoreactivity in interneurons and pyramidal cells in the rat hippocampus,600,2011
176,Electron acceptors based on α-substituted perylene diimide (PDI) for organic solar cells,2312,2016
177,Grain size effects on dislocation and twinning mediated plasticity in magnesium,1028,2016
178,"Comparative metabolism of cellulose, sophorose and glucose in Trichoderma reesei using high-throughput genomic and proteomic analyses",660,2014
179,"Contextual analysis and epidemiology of spider bite in southern Santa Catarina State, Brazil",294,2009
180,"Childhood trauma, trauma in adulthood, and psychiatric diagnoses: results from a community sample",2886,2008
181,Tris(triazolyl) Calix[6]arene-Based Zinc and Copper Funnel Complexes: Imidazole-like or Pyridine-like? A Comparative Study,720,2011
182,An exact and explicit solution for the valuation of American put options,2497,2006
183,Using developmental trajectories to understand genetic disorders,10480,1970
184,Extreme waves induced by strong depth transitions: Fully nonlinear results,359,2014
185,The news story as rhetoric: Linguistic approaches to the analysis of journalistic discourse,404,2008
186,Kinetics of heterocoagulation. Part. 2—The effect of the discreteness of surface charge,1572,1992
187,"Imperfect tax competition for profits, asymmetric equilibrium and beneficial tax havens",1033,2010
188,Potential risks of Zika and chikungunya outbreaks in Brazil: A modeling study,146,2018
189,Bone marrow transplantation in adult thalassemic patients,3221,1999
190,Smooth and block inversion of surface NMR amplitudes and decay times using simulated annealing,2556,2002
191,QTL mapping reveals a tight linkage between QTLs for grain weight and panicle spikelet number in rice,109,2013
192,Dithiocarbamate to modify magnetic graphene oxide nanocomposite (Fe3O4-GO): A new strategy for covalent enzyme (lipase) immobilization to fabrication a new nanobiocatalyst for …,228,2017
193,Tailoring piezoresistive sensitivity of multilayer carbon nanotube composite strain sensors,4119,2008
194,Segmental trunk control acquisition and reaching in typically developing infants,641,2013
195,A scalable GPU-based approach to shading and shadowing for photorealistic real-time augmented reality.,1382,2007
196,Studies on managemental practices followed by the traditional owners of Sahiwal cows in Punjab,286,1970
197,COMPARISON OF FREQUENCY OF HELICOBACTER PYLORI INFECTION IN SUBGROUP OF PATIENTS WITH NON-ULCER DYSPESIA,116,2003
198,Mitral ring annuloplasty relieves tension of the secondary but not primary chordae tendineae in the anterior mitral leaflet,1028,2011
199,Mapping Electric Field‐Induced Switchable Poling and Structural Degradation in Hybrid Lead Halide Perovskite Thin Films,2566,2015
200,Relation of apparent diffusion coefficient changes and metabolic disturbances after 1 hour of focal cerebral ischemia and at different reperfusion phases in rats,2661,2001
201,Noise-delayed decay in the response of a scale-free neuronal network,80,2013
202,Growth and 137Cs uptake of four Brassica species influenced by inoculation with a plant growth-promoting rhizobacterium Bacillus pumilus in three contaminated farmlands in …,175,2015
203,Vaccinations in asplenic adults,278,2016
204,A multi objective optimization approach for flexible job shop scheduling problem under random machine breakdown by evolutionary algorithms,1211,2016
205,Non-intrusive sleep analyzer for real time detection of sleep anomalies,97,2016
206,Islam and Malay kingship1,2452,1981
207,Clustering and prediction of rankings within a Kemeny distance framework,572,1970
208,Computational and experimental investigation of flow over a transient pitching hydrofoil,1103,2009
209,Integrated Linguistic Resources for Language Exploitation Technologies.,542,2006
210,Scattering of phonons from a high-energy grain boundary in silicon: Dependence on angle of incidence,1028,2007
211,The Monte Carlo method in condensed matter physics,14812,2012
212,Upper hemisphere sound localization using head-related transfer functions in the median plane and interaural differences,1005,1970
213,Introducing undergraduates to research using a Suzuki–Miyaura cross-coupling organic chemistry miniproject,290,2015
214,Solving linear diffusion equations with the dual reciprocity method in Laplace space,2497,1994
215,Latex allergy can induce clinical reactions to specific foods,3489,1996
216,"Dicyanomethylene-Substituted Fused Tetrathienoquinoid for High-Performance, Ambient-Stable, Solution-Processable n-Channel Organic Thin-Film Transistors.",2312,2011
217,An intelligent telecardiology system using a wearable and wireless ECG to detect atrial fibrillation,2858,2010
218,Compositional dependability evaluation for STATEMATE,905,2009
219,TMS to the “occipital face area” affects recognition but not categorization of faces,1011,2013
220,Methodological remarks on rearing basal Attini ants in the laboratory for biological and evolutionary studies: overview of the genus Mycetophylax,294,2011
221,"Expression analysis of the exo-β-1, 3-glucanase from the mycoparasitic fungus Trichoderma asperellum",660,2010
222,Local heat transfer around a wall-mounted cube in the turbulent boundary layer,681,2001
223,Evaluating'reporter'voice in two Japanese front-page lead stories,404,1970
224,"The Important People Drug and Alcohol interview: Psychometric properties, predictive validity, and implications for treatment",2886,2009
225,Diferrocenylbispyrylium Salts and Electron-Rich Diferrocenylbispyran from Oxidative Coupling of Ferrocenylpyran. Induced Electron Transfer C− C Bond Making/Breaking Involving a …,720,2008
226,Modern heuristic optimization techniques: theory and applications to power systems,6000,2008
227,Time-course metabolic profiling in Arabidopsis thaliana cell cultures after salt stress treatment,5425,2006
228,Variation in working memory: An introduction,10480,2007
229,The behavior of phosphorous during passivation of weathering steel by protective patina formation,1572,1990
230,Ovarian steroids alter mu opioid receptor trafficking in hippocampal parvalbumin GABAergic interneurons,600,2009
231,Towards probe-less augmented reality,1382,1970
232,Olive flowering as an indicator of local climatic changes,1153,2005
233,Effects of autapse and ion channel block on the collective firing activity of Newman–Watts small-world neuronal networks,80,2017
234,Fine mapping of a QTL for the number of spikelets per panicle by using near‐isogenic lines derived from an interspecific cross between O ryza sativa and O ryza minuta,109,2013
235,Effect of transient focal ischemia of mouse brain on energy state and NAD levels: no evidence that NAD depletion plays a major role in secondary disturbances of energy metabolism,2661,2000
236,The conformal-mapping method for surface gravity waves in the presence of variable bathymetry and mean current,359,2014
237,Pore size distributions and hydraulic conductivities of rocks derived from magnetic resonance sounding relaxation data using multi-exponential decay time inversion,2556,2008
238,"Morphogenetic characterisation, date of divergence, and evolutionary relationships of malaria vectors Anopheles cruzii and Anopheles homunculus",146,2015
239,Advances in the allogeneic transplantation for thalassemia,3221,2008
240,Southeast Asia in the 9th to 14th Centuries,2452,1970
241,The development of trunk control and its relation to reaching in infancy: a longitudinal study,641,2015
242,The androgen receptor gene mutations database (ARDB): 2004 update,1413,2004
243,Creating Sentence-Aligned Parallel Text Corpora from a Large Archive of Potential Parallel Text using BITS and Champollion.,542,2008
244,Ion Migration and the Role of Preconditioning Cycles in the Stabilization of the J–V Characteristics of Inverted Hybrid Perovskite Solar Cells,2566,2016
245,Spatial conductivity mapping of carbon nanotube composite thin films by electrical impedance tomography for sensing applications,4119,2007
246,Motivators of online vulnerability: The impact of social network site use and FOMO,95,2017
247,Natural zeolites as effective adsorbents in water and wastewater treatment,29877,2010
248,"Investigation of outdoor BTEX: concentration, variations, sources, spatial distribution, and risk assessment",1211,2016
249,An experimental analysis of fluid structure interaction on a flexible hydrofoil in various flow regimes including cavitating flow,1103,2012
250,Recognition of human daily activities,97,2015
251,High-dose argatroban for treatment of heparin-induced thrombocytopenia with thrombosis: a case report and review of laboratory considerations,278,2012
252,Velocity and directionality of the electrohysterographic signal propagation,1028,2014
253,Induction of G1 cell cycle arrest and cyclin D1 down-regulation in response to pericarp extract of Baneh in human breast cancer T47D cells,228,2012
254,Can taxes tame the banks? Evidence from the European bank levies,1033,1970
255,Cluster monte carlo algorithms,14812,1990
256,"Prevalence of gastro-intestinal parasitic infections in goat of Madhya Pradesh, India",286,1970
257,Expression of transcription factor grainyhead-like 2 is diminished in cervical cancer,98,1970
258,Valuation of projects for power generation with renewable energy: A comparative study based on real regulatory options,95,2013
259,Pulmonary function in ulcerative colitis,116,2008
260,Introduction: Paths to New Regionalism,1885,2000
261,Modelling dislocations in a free-standing thin film,1028,2009
262,Biosensor technologies for augmented brain–computer interfaces in the next decades,2858,2012
263,Sensory compensation in sound localization in people with one eye,1011,2012
264,Hyaluronidase induction of a WW domain-containing oxidoreductase that enhances tumor necrosis factor cytotoxicity,3489,2001
265,"Thieno [3, 4-c] pyrrole-4, 6-dione containing copolymers for high performance field-effect transistors",2312,2013
266,Ultra-short pulsed laser ablation of polymers,877,2001
267,A closed-form analytical solution for the valuation of convertible bonds with constant dividend yield,2497,2006
268,A recursive partitioning method for the prediction of preference rankings based upon kemeny distances,572,2016
269,Measuring group processes: A comparison of the GCQ and CCI.,2886,2006
270,Promiscuous interactions of human septins: the GTP binding domain of SEPT7 forms filaments within the crystal,76,2011
271,A hybrid particle swarm optimization for distribution state estimation,6000,2003
272,The nature of the ‘Reporter Voice,404,2008
273,Influences of autapse and channel blockage on multiple coherence resonance in a single neuron,80,2017
274,DTMC model checking by SCC reduction,905,2010
275,Reactivity of carbanions of Fischer-type carbene complexes with pyrylium salts. Synthesis and characterization of new γ-methylenepyran carbene complexes via an addition …,720,2002
276,Segmental contributions to trunk control in children with moderate-to-severe cerebral palsy,641,2015
277,Prediction of Japanese green tea ranking by gas chromatography/mass spectrometry-based hydrophilic metabolite fingerprinting,5425,2007
278,Stable cesium uptake and accumulation capacities of five plant species as influenced by bacterial inoculation and cesium distribution in the soil,175,2014
279,Geoelectrical methods,2556,2006
280,A new physical measure for psychological evaluation of a sound field: Front/back energy ratio as a measure for envelopment,1005,1993
281,Myrmecofauna of the southern catarinense Restinga sandy coastal plain: new records of species occurrence for the State of Santa Catarina and Brazil,294,2010
282,New insights in Trichoderma harzianum antagonism of fungal plant pathogens by secreted protein analysis,660,2010
283,Quantitative classification of patina conditions for weathering steel using a recently developed instrument,1572,1989
284,Effects of pre-and postnatal olfactogustatory experience on early preferences at birth and dietary selection at weaning in kittens,106,2009
285,A new method for evaluation of cavitation near mechanical heart valves,1028,2003
286,Heat transfer augmentation in unsteady conjugate thermal systems–Part II: Applications,681,2013
287,A viewpoint planning strategy for determining true angles on polyhedral objects by camera alignment,1382,1997
288,Processos e operações unitárias da indústria Química,290,1970
289,"Multiple-Translation Arabic Corpus, Part 1",542,1970
290,Phlebotomy to reduce iron overload in patients cured of thalassemia by bone marrow transplantation,3221,1997
291,Zinc oxide nanoparticle-polymeric thin films for dynamic strain sensing,4119,2011
292,Variation in working memory.,10480,1970
293,Covalently bonded pancreatic lipase onto the dithiocarbamate/chitosan-based magnetite: Stepwise fabrication of Fe3O4@ CS/NHCS-Lip as a novel and promising nanobiocatalyst,228,2017
294,Expression of WNT genes in cervical cancer-derived cells: Implication of WNT7A in cell proliferation and migration,98,2015
295,Removal of dyes from aqueous solution using fly ash and red mud,29877,2005
296,Ovarian steroids modulate leu-enkephalin levels and target leu-enkephalinergic profiles in the female hippocampal mossy fiber pathway,600,2008
297,QTL Mapping of agronomic traits in an advanced backcross population from a cross between Oryza sativa L. cv. Milyang 23 and O. glaberrima,109,2008
298,"Periostin, a member of a novel family of vitamin K-dependent proteins, is expressed by mesenchymal stromal cells",1413,2008
299,Ideological work in constructing the Malay majority,2452,1970
300,Emergence of coherent wave groups in deep-water random sea,359,2013
301,"Dynamic changes of ADC, perfusion, and NMR relaxation parameters in transient focal ischemia of rat brain",2661,2002
302,Study of moving bed biofilm reactor in diethyl phthalate and diallyl phthalate removal from synthetic wastewater,1211,2015
303,A valuation of wind power projects in Germany using real regulatory options,95,2014
304,Early unilateral enucleation disrupts motion processing,1011,2002
305,When ‘friends’ collide: Social heterogeneity and user vulnerability on social network sites,95,2016
306,Morphological and cytological development and starch accumulation in hermaphrodite and staminate flowers of olive (Olea europaea L.),1153,2009
307,New oral therapies for the prevention and treatment of venous thromboembolism,278,2013
308,Effects of Metoclopramide in patients with non-ulcer dyspepsia,116,1997
309,Studies on repeat breeding of buffaloes,286,2011
310,Comparison of theoretical and simulation-based predictions of grain-boundary Kapitza conductance in silicon,1028,2008
311,Are less developed countries more exposed to multinational tax avoidance? Method and evidence from micro-data,1033,1970
312,A comparison of the Outcome Questionnaire‐45 and Outcome Questionnaire‐30 in classification and prediction of treatment outcome,2886,2006
313,Review of wireless and wearable electroencephalogram systems and brain-computer interfaces–a mini-review,2858,1970
314,Real-time adaptive spectrum sensing for cyclostationary and energy detectors,97,2018
315,Role of the crystallization substrate on the photoluminescence properties of organo-lead mixed halides perovskites,2566,2014
316,Influence of the cavitation model on the simulation of cloud cavitation on 2D foil section,1103,1970
317,Assembly stoichiometry of bacterial selenocysteine synthase and SelC (tRNAsec),76,2013
318,The fabrication of vertical light-emitting diodes using chemical lift-off process,709,2008
319,Young’s modulus of graphene: a molecular dynamics study,14812,2009
320,Multiple saccades are more automatic than single saccades,641,2007
321,JNK1 physically interacts with WW domain-containing oxidoreductase (WOX1) and inhibits WOX1-mediated apoptosis,3489,2003
322,Political change in the metropolis,1885,1989
323,Accurate tree-based missing data imputation and data fusion within the statistical learning paradigm,572,2012
324,Mycoparasitism studies of Trichoderma species against three phytopathogenic fungi: evaluation of antagonism and hydrolytic enzyme production,660,2013
325,Estimation of Tr81 Area Yearly Electric Energy Consumption By Artificial Neural Networks,80,1970
326,A metabolomic approach to lung cancer,5425,2011
327,Stress Tolerance and Symbiotic and Phylogenic Features of Root Nodule Bacteria Associated with Medicago Secies in Different Bioclimatic Regions of Tunisia,175,1970
328,Counterexample generation for discrete-time Markov chains using bounded model checking,905,1970
329,Immobilization of monolayers incorporating Cu funnel complexes onto gold electrodes. Application to the selective electrochemical recognition of primary alkylamines in water,720,2016
330,Antinociceptive effect of a ruthenium complex in mice,294,2008
331,Biophotonic techniques for manipulation and characterization of drug delivery nanosystems in cancer therapy,877,2012
332,Creating arabic-english parallel word-aligned treebank corpora at LDC,542,1970
333,"High‐Performance Organic Field‐Effect Transistors Based on Single and Large‐Area Aligned Crystalline Microribbons of 6, 13‐Dichloropentacene",2312,2013
334,Navigation using range images on a mobile robot,1382,1992
